Item;Sub-item;Descricao;Status;Observacao
1;VALIDACAO;Validacao em Tempo Real (Event: blur);[ ];
1;VALIDACAO;Validacao Pre-Submit (Event: submit);[ ];
1;VALIDACAO;Campos de Texto (Title Case para Nomes);[ ];
1;VALIDACAO;Campos de Texto (UPPERCASE para SKU);[ ];
1;VALIDACAO;Mascaras de Entrada (CPF/CNPJ/CEP/Preco);[ ];
1;VALIDACAO;Feedback Visual (input-error/input-success);[ ];
1;VALIDACAO;Prevencao de Submissao Duplicada (Loading State);[ ];
1;VALIDACAO;Dirty State (Alerta de Saida sem Salvar);[ ];
2;NAVEGACAO;Info Tooltip (Macro info_icon);[ ];
2;NAVEGACAO;Field Lookup (Autocomplete/Datalist);[ ];
2;NAVEGACAO;Quick Actions (Master e Plus Icons);[ ];
2;NAVEGACAO;Atalhos de Teclado (CTRL+S, ESC, SHIFT+F2/F4);[ ];
3;HEADER;Breadcrumbs de Localizacao;[ ];
3;HEADER;Toolbar com Icon-Only Strategy;[ ];
3;HEADER;Dropdown de Acoes Extras (...);[ ];
3;HEADER;Heranca Cromatica do Tema;[ ];
4;MATRIZ;Geracao Automatica de SKU (REF-COR-TAM);[ ];
4;MATRIZ;Matriz de Variantes (Edicao em Grade);[ ];
4;MATRIZ;Precificacao Variavel por Variação;[ ];
4;MATRIZ;Galeria de Fotos vinculada por Cor;[ ];
5;ABAS;Arquitetura de Sub-Abas no Rodape;[ ];
5;ABAS;Troca Instantanea (Zero Reload);[ ];
5;ABAS;Badges Dinamicos de Conteudo;[ ];
5;ABAS;Auto-Foco em Erros dentro de Abas;[ ];
6;ACESSIBILIDADE;Contraste Minimo (4.5:1);[ ];
6;ACESSIBILIDADE;Aria-Labels em Botoes Icon-Only;[ ];
6;ACESSIBILIDADE;Focus Visible em Botoes e Inputs;[ ];
7;MOBILE;Touch Targets (Minimo 44x44px);[ ];
7;MOBILE;Tabelas Responsivas (Modo Card);[ ];
